0,Emri,EmriTregtar,NrIBiznesit,Sektori,LlojiIbiznesit,Komuna,Popullsia2020,Data,NumriIpunetoreve,%astotalGDP(10 max),%assectorGDP(10 max),UljeApoNgritje
173,NATYRA RESORT SH.P.K.,NATYRA RESORT,811502005,Restaurante dhe aktivitete sherbyese,Biznes individual,Prizren,"186,375",26-10-2020,20,-5.63,-4.74,0
174,Noja Kuzhine SH.P.K.,Noja Kuzhine,811498254,Restaurante dhe aktivitete sherbyese,Biznes individual,Prizren,"186,375",15-09-2020,10,-1.99,-4.74,0
175,Boemo caffe SH.P.K.,Boemo caffe,811552589,Sherbime tjera ushqyese,Biznes individual,Prishtine,"208,230",27-10-2020,8,-1.01,-1.74,0
176,AETHER L.L.C.,AETHER,811497959,Marketing,Biznes individual,Prishtine,"208,230",15-09-2020,16,-0.69,-0.72,0
177,Cuban Puro House SH.P.K.,Cuban Puro House,811505992,Restaurante dhe aktivitete sherbyese,Biznes individual,Prishtine,"208,230",26-10-2020,32,-2.58,-4.74,0
178,Hajrije M. Bujupaj B.I.,"N.P.T. "" BUJKU BB """,811229039,Agrikultura,Biznes individual,Istog,"40,728",23-10-2020,11,-0.78,-0.05,0
179,RAVINE IA L.L.C.,RAVINE IA,811505801,Restaurante dhe aktivitete sherbyese,Biznes individual,Shterpce,"6,763",15-09-2020,20,-2.11,-4.74,0
180,ROGO'S SH.P.K.,ROGO'S,811503219,Restaurante dhe aktivitete sherbyese,Biznes individual,Prishtine,"208,230",26-10-2020,30,-3.04,-4.74,0
181,Lux Apartments SH.P.K.,Lux Apartments,811564112,Hotele dhe akomodimi,Biznes individual,Prishtine,"208,230",27-10-2020,7,-4.54,-3.15,0
182,Brigita Dani B.I.,Pita Pita,811560235,Sherbime tjera ushqyese,Biznes individual,Prishtine,"208,230",26-10-2020,10,-1.01,-1.74,0
183,Hamdi F. Jusufi B.I.,///,811555658,Sherbime tjera ushqyese,Biznes individual,Mitrovice,"75,502",15-09-2020,10,-2.61,-1.74,0
184,Lantern SH.P.K.,Lantern SHPK,811477430,Agjensite e patundshmerise,Biznes individual,Prishtine,"208,230",26-10-2020,10,-0.95,-0.9,0
185,DARDI BNF SH.P.K.,DARDI BNF,811373571,Transporti urbane,Biznes individual,Lipjan,"57,707",28-10-2020,17,-2.23,-2.12,0
186,B & B Sports Group SH.P.K.,///,811327578,Palestra e fitnesit,Biznes individual,Peje,"99,921",27-10-2020,6,-5.32,-3.5,0
187,European Sports Promotions L.L.C.,///,810147589,Aktivitete sportive,Biznes individual,Prishtine,"208,230",27-10-2020,6,-5.34,-4.1,0
188,FC VITIA SH.P.K.,///,810142696,Aktivitete sportive,Biznes individual,Viti,"47,681",26-10-2020,5,-5.2,-4.1,0
189,VOCI - 1 SH.P.K.,///,811033745,Agrikultura,Biznes individual,Suhareke,"63,228",10/4/2020,7,-0.4,-0.05,0
190,Dera SH.P.K.,Dera,811480061,Agjensite e patundshmerise,Biznes individual,Prishtine,"208,230",27-10-2020,7,-0.8,-0.9,0
191,TSA Trade SH.P.K.,///,811483768,Tregti e pijeve,Biznes individual,Prishtine,"208,230",26-10-2020,39,-0.78,-1.03,0
192,Izet Sedolli B.I.,"D.P.Z. "" Mulliri Elektrik """,810640426,Agrikultura,Biznes individual,Ferizaj,"108,610",30-10-2020,6,-0.05,-0.05,0
193,Gent Jaha B.I.,///,811562348,Porodhimi me shumice,Biznes individual,Gjakove,"94,840",27-10-2020,26,-3.02,-3.21,0
194,2B GROUP SH.P.K.,2B GROUP,811553214,Agjensite e patundshmerise,Biznes individual,Prishtine,"208,230",15-09-2020,9,-0.67,-0.9,0
195,HB METAL SH.P.K.,HB METAL,811548843,Porodhimi me shumice,Biznes individual,Gjakove,"98,476",26-10-2020,48,-4.21,-3.21,0
196,Albert Shabani B.I.,"D.P.H. "" BERATI """,811258335,Hotele dhe akomodimi,Biznes individual,Fushe Kosove,"38,944",15-09-2020,14,-3.21,-3.15,0
197,PRIME HOTEL SH.P.K.,PRIME HOTEL Shpk,811421388,Hotele dhe akomodimi,Biznes individual,Prishtine,"208,230",28-10-2020,7,-2.32,-3.15,0
198,RIO Grill SH.P.K.,///,811503160,Restaurante dhe aktivitete sherbyese,Biznes individual,Prishtine,"208,230",15-09-2020,35,-7.43,-4.74,0
199,Shkelzen LajÃ§i B.I.,///,810909210,Farmaceutike,Biznes individual,Prishtine,"208,230",23-10-2020,4,5.6,5.8,0
200,Sanije Oruqi B.I.,BIO FARM BETI,811562306,Furre e bukes,Biznes individual,Rahovec,"59,308",15-09-2020,7,3.02,2.78,0
201,AMELA & GYLI SH.P.K.,///,811482512,Porodhimi me shumice,Biznes individual,Mitrovice,"75,502",26-10-2020,24,-3.04,-3.21,0
202,Weng Fat Poultry SH.P.K.,///,811014761,Porodhimi me shumice,Biznes individual,Drenas,"61,801",30-10-2020,33,-4.12,-3.21,0
203,Valon Rahimi B.I.,"N.SH. "" alba fly travel & tours """,811192450,Transporti ajror,Biznes individual,Gjilan,"93,450",23-10-2020,33,-3.72,-3.95,0
204,Mullareka R&D SH.P.K.,Mullareka R&D,811510537,Furre e bukes,Biznes individual,Prizren,"186,375",27-10-2020,9,3.92,2.78,0
205,Mulliri I Vjeter SH.P.K.,///,810775588,Agrikultura,Biznes individual,Podujeve,"94,864",30-10-2020,11,-0.05,-0.05,0
206,Ferdije Osmani B.I.,LEON ORIK,811510842,Transporti urbane,Biznes individual,Prishtine,"208,230",15-09-2020,12,-2.23,-2.12,0
207,Teuta Neziri B.I.,Kuzhina e Teutes,811553446,Sherbime tjera ushqyese,Biznes individual,Prishtine,"208,230",15-09-2020,10,-1.01,-1.74,0
208,ANKA INTERNATIONAL L.L.C.,ANKA INTERNATIONAL,811384122,Stomatologji,Biznes individual,Prizren,"186,375",15-09-2020,5,-3.04,-2.98,0
209,Spark SH.P.K.,///,811253848,Porodhimi me shumice,Biznes individual,Fushe Kosove,"38,944",30-10-2020,33,-2.48,-3.21,0
210,DERMA RR ESTETIKA SH.P.K.,RR ESTETIKA,811492058,Aktivitete spitalore,Biznes individual,Prishtine,"208,230",15-09-2020,31,6.64,6.28,0
211,Sunset Lounge SH.P.K.,Sunset Lounge,811556622,Restaurante dhe aktivitete sherbyese,Biznes individual,Prishtine,"208,230",15-09-2020,35,-2.16,-4.74,0
212,Restaurant Pizzeria Druri SH.P.K.,Restaurant Pizzeria Druri,811505645,Restaurante dhe aktivitete sherbyese,Biznes individual,Shtime,"27,425",26-10-2020,20,-2.09,-4.74,0
213,Zijadin S. Aliu B.I.,ZIJADIN ALIU B. I.,811215054,Tekstil,Biznes individual,Gjilan,"93,450",15-09-2020,7,-2.05,-2.14,0
214,THÃRMIJA SH.P.K.,///,810086589,Agrikultura,Biznes individual,Prishtine,"208,230",15-09-2020,6,-0.02,-0.05,0
215,Azem A. Shala B.I.,Gima Grill,811502154,Restaurante dhe aktivitete sherbyese,Biznes individual,Gjakove,"98,476",22-10-2020,10,-3.96,-4.74,0
216,Milan Lazarevic I.B.,MILAN LAZAREVIÄ I.B.,811166819,Porodhimi me shumice,Biznes individual,Mitrovice,"75,502",27-10-2020,24,-2.59,-3.21,0
217,Hashim Basholli B.I.,"N.P. '' Reka e Kuqe """,811116781,Agrikultura,Biznes individual,Vushtrri,"73,207",26-10-2020,18,-0.07,-0.05,0
218,Egzon Is. Morina B.I.,Gazeta Fjala,811482934,Agjensione lajmesh,Biznes individual,Prishtine,"208,230",27-10-2020,8,1.2,1.3,0
219,MARGEA D.O.O.,MARGEA,811344001,Hotele dhe akomodimi,Biznes individual,Zvecan,"7,394",15-09-2020,14,-4.32,-3.15,0
220,DBK SH.P.K.,DBK,811486770,Agjensite e patundshmerise,Biznes individual,Prishtine,"208,230",30-10-2020,10,-0.67,-0.9,0
221,MADEKOS SH.P.K.,MADEKOS,811560293,Stomatologji,Biznes individual,Fushe Kosove,"38,944",15-09-2020,5,-2.04,-2.98,0
222,Arianit Halimaj B.I.,///,811494343,Transporti urbane,Biznes individual,Prizren,"186,375",26-10-2020,15,-2.09,-2.12,0
223,ALMATEL SH.P.K.,ALMATEL SHPK,811388348,Stomatologji,Biznes individual,Prishtine,"208,230",28-10-2020,5,-2.56,-2.98,0
224,Behgjet Pacolli,Kompania E Sigurimeve Te Pergjithshme Siguria SH.A.,810495102,Sigurime,Biznes individual,Prishtine,"208,230",20-10-2020,12,-0.01,-0.02,0
225,nina's Food SH.P.K.,nina's Food,811503516,Restaurante dhe aktivitete sherbyese,Biznes individual,Prishtine,"208,230",30-10-2020,35,-1.66,-4.74,0
226,AUSTRIA CENTER MATOS SH.P.K.,///,810733578,Farmaceutike,Biznes individual,Rahovec,"59,308",22-10-2020,4,5.94,5.8,0
227,UroÅ¡ Dobrosavljevic I.B.,UROÅ  DOBROSAVLJEVIÄ I.B.,810078255,Aktivitete sportive,Biznes individual,Shterpce,"6,763",28-10-2020,12,-5.34,-4.1,0
228,Adhurim A. Berisha B.I.,Mambo Lounge,811566788,Restaurante dhe aktivitete sherbyese,Biznes individual,Malisheve,"62,738",26-10-2020,20,-0.77,-4.74,0
229,Metal Aidi SH.P.K.,Metal Aidi,811511642,Porodhimi me shumice,Biznes individual,Vushtrri,"73,207",23-10-2020,38,-3.04,-3.21,0
230,Contract Law 9 SH.P.K.,///,811465344,Agjensite e patundshmerise,Biznes individual,Kacanik,"34,396",22-10-2020,7,-0.85,-0.9,0
231,MEDINTER SH.P.K.,///,811464974,Stomatologji,Biznes individual,Prishtine,"208,230",30-10-2020,5,-2.04,-2.98,0
232,Royal Burger & More SH.P.K.,Royal Burger & More,811563164,Furre e bukes,Biznes individual,Prizren,"186,375",26-10-2020,9,3.1,2.78,0
233,Sebaydin TaÃ§ B.I.,///,811491307,Porodhimi me shumice,Biznes individual,Mamushe,"5,906",22-10-2020,40,-4.12,-3.21,0
234,Vellazerimi SH.P.K.,///,810774689,Agrikultura,Biznes individual,Podujeve,"94,864",26-10-2020,11,-0.78,-0.05,0
235,Xhavit Nika B.I.,///,811180405,Porodhimi me shumice,Biznes individual,Gllogoc,"60,970",27-10-2020,38,-4.12,-3.21,0
236,VEKTOR SPORTS SH.P.K.,///,811364471,Aktivitete sportive,Biznes individual,Ferizaj,"108,610",30-10-2020,8,-4.32,-4.1,0
237,Erza One SH.P.K.,Erza One,811508582,Restaurante dhe aktivitete sherbyese,Biznes individual,Prishtine,"208,230",30-10-2020,23,-1.37,-4.74,0
238,Adi Kon SH.P.K.,Adi Kon,811508003,Porodhimi me shumice,Biznes individual,Prishtine,"208,230",26-10-2020,40,-2.96,-3.21,0
239,"Milazim Zeqiraj
Hashim Deshishku",Kompania E Sigurimit Sigkos SH.A.,811292979,Sigurime,Biznes individual,Prishtine,"208,230",20-10-2020,8,-0.01,-0.02,0
240,GREEN LAND HOTEL SH.P.K.,///,811252858,Hotele dhe akomodimi,Biznes individual,Fushe Kosove,"38,944",26-10-2020,9,-4.54,-3.15,0
241,AREA JMG SH.P.K.,AREA JMG,811557232,Restaurante dhe aktivitete sherbyese,Biznes individual,Viti,"47,681",15-09-2020,15,-2.14,-4.74,0
242,Milihat Shkodra B.I.,TREGÃTI LÃVIZÃSE MILIHAT SHKODRA,811214006,Tekstil,Biznes individual,Gjilan,"93,450",26-10-2020,20,-2.26,-2.14,0
243,AGJENSIONI DEMIRI SH.P.K.,AGJENSIONI DEMIRI,811564477,Agjensite e patundshmerise,Biznes individual,Prishtine,"208,230",15-09-2020,10,-0.8,-0.9,0
244,LARA MEAT TRADE D.O.O.,LARA MEAT TRADE,811567025,Furre e bukes,Biznes individual,Zvecan,"7,394",30-10-2020,7,2.7,2.78,0
245,Ndermarrja E Re Kopiliq I Eperm SH.P.K.,///,810816944,Agrikultura,Biznes individual,Prishtine,"208,230",27-10-2020,12,-0.4,-0.05,0
246,Ardi Travel SH.P.K.,///,811457309,Transporti urbane,Biznes individual,Gjakove,"98,476",26-10-2020,10,-2.12,-2.12,0
247,RESTAURANT XHAFA SH.P.K.,RESTAURANT XHAFA,811548819,Restaurante dhe aktivitete sherbyese,Biznes individual,Prizren,"186,375",28-10-2020,15,-4.53,-4.74,0
248,Flamur Sopi B.I.,Fitnes Viktori,811446534,Palestra e fitnesit,Biznes individual,Gllogoc,"60,970",10/4/2020,9,-5.37,-3.5,0
249,NTSH NIJA ARTI SH.P.K.,N.T.SH. '' NIJA - ARTI '',811557448,Furre e bukes,Biznes individual,Gjakove,"98,476",26-10-2020,7,2.67,2.78,0
250,M. BEREQETI B.I.,MULLIS BEREQETI,80201974,Agrikultura,Biznes individual,Vushtrri,"73,207",27-10-2020,11,-0.78,-0.05,0
251,AEROPORTI I GJAKOVÃS SH.A.,///,811127986,Transporti ajror,Biznes individual,Gjakove,"98,476",26-10-2020,28,-4.02,-3.95,0
252,Albmedia Group L.L.C.,Albmedia Group,811551705,Agjensione lajmesh,Biznes individual,Prishtine,"208,230",15-09-2020,8,0.95,1.3,0
253,GAMA RS D.O.O.,GAMA RS,811474197,Furre e bukes,Biznes individual,Kllokot,"2,691",15-09-2020,5,3.92,2.78,0
254,VATAN MED SH.P.K.,///,811332832,Stomatologji,Biznes individual,Prishtine,"208,230",15-09-2020,8,-2.04,-2.98,0
255,BALKAN DISTRIBUTION GROUP SH.P.K.,BALKAN DISTRIBUTION GROUP,811550674,Furre e bukes,Biznes individual,Prishtine,"208,230",26-10-2020,5,3.92,2.78,0
256,Vjollca Kabashi B.I.,te Taverna Ortakolli,811557175,Restaurante dhe aktivitete sherbyese,Biznes individual,Prizren,"186,375",26-10-2020,23,-5.52,-4.74,0
257,Agjencioni Per Patundshmeri Linda & B SH.P.K.,///,811501247,Agjensite e patundshmerise,Biznes individual,Prishtine,"208,230",30-10-2020,4,-0.95,-0.9,0
258,Nazli Krasniqi B.I.,Ela Cake,811555038,Furre e bukes,Biznes individual,Prishtine,"208,230",15-09-2020,9,2.41,2.78,0
259,Bekim E. Isufi B.I.,"N.T.Sh. "" Jehona - Bablak """,811058892,Agrikultura,Biznes individual,Ferizaj,"108,610",23-10-2020,18,-0.05,-0.05,0
260,Visare Mustafaj B.I.,Restaurant BARREL No 79,811563536,Restaurante dhe aktivitete sherbyese,Biznes individual,Prishtine,"208,230",15-09-2020,23,-4.47,-4.74,0
261,HOTEL NARTEL SH.P.K.,///,811350892,Hotele dhe akomodimi,Biznes individual,Prishtine,"208,230",27-10-2020,14,-3.32,-3.15,0
262,Andelina BytyÃ§i B.I.,Prime Kosovo Real Estate,811566704,Agjensite e patundshmerise,Biznes individual,Prishtine,"208,230",15-09-2020,10,-0.8,-0.9,0
263,Egzon Xharavina B.I.,KBB EGZONI,811424324,Palestra e fitnesit,Biznes individual,Gjakove,"98,476",26-10-2020,9,-5.42,-3.5,0
264,BC HOLDING SH.P.K.,BC HOLDING,811408089,Prodhimi i barnave,Biznes individual,Gjilan,"93,450",23-10-2020,50,5.77,6.53,0
265,MYFIX SH.P.K.,///,811477406,Prodhimi i barnave,Biznes individual,Gllogoc,"60,970",27-10-2020,31,6.92,6.53,0
266,Mulliri Balaj SH.P.K.,///,810797152,Agrikultura,Biznes individual,Prishtine,"208,230",30-10-2020,7,-0.4,-0.05,0
267,HEALTH EDUCATION STUDIO SH.P.K.,///,811503318,Stomatologji,Biznes individual,Prishtine,"208,230",26-10-2020,5,-3.04,-2.98,0
268,Swiss Pro Fix SH.P.K.,///,811552654,Prodhimi i barnave,Biznes individual,Obiliq,"18,660",28-10-2020,60,5.72,6.53,0
269,PROPER PIZZA DRINI SH.P.K.,///,811555088,Restaurante dhe aktivitete sherbyese,Biznes individual,Gllogoc,"60,970",27-10-2020,25,-5.15,-4.74,0
270,Villa Gold SH.P.K.,Villa Gold,811366146,Hotele dhe akomodimi,Biznes individual,Ferizaj,"108,610",26-10-2020,7,-3.32,-3.15,0
271,Lika Company SH.P.K.,///,811551565,Prodhimi i barnave,Biznes individual,Fushe Kosove,"38,944",15-09-2020,33,6.92,6.53,0
272,ECLIPSE DENTAL L.L.C.,ECLIPSE DENTAL,811481184,Stomatologji,Biznes individual,Prishtine,"208,230",23-10-2020,10,-3.04,-2.98,0
273,Uke Dushi B.I.,"N.T.P. "" BENINI """,810893728,Agrikultura,Biznes individual,Prishtine,"208,230",15-09-2020,6,-0.05,-0.05,0
274,Sevdije Hasani B.I.,///,811330381,Porodhimi me shumice,Biznes individual,Viti,"47,681",26-10-2020,56,-4.12,-3.21,0
275,RESTAURANT ROMANTIKA HAR SH.P.K.,RESTAURANT ROMANTIKA HAR,811565805,Restaurante dhe aktivitete sherbyese,Biznes individual,Ferizaj,"108,610",15-09-2020,23,-2.62,-4.74,0
276,FC Fushe Kosova SH.P.K.,///,810152471,Aktivitete sportive,Biznes individual,Fushe Kosove,"38,944",30-10-2020,3,-5.43,-4.1,0
277,Kuint Hotel SH.P.K.,///,811305194,Hotele dhe akomodimi,Biznes individual,Peje,"99,921",26-10-2020,9,-4.32,-3.15,0
278,N'BahÃ§e SH.P.K.,N'BahÃ§e,811510173,Furre e bukes,Biznes individual,Gjilan,"93,450",15-09-2020,5,2.18,2.78,0
279,Ekrem Selimi,FESTIMI SH.P.K.,811233064,Restaurante dhe aktivitete sherbyese,Biznes individual,Kacanik,"34,396",20-10-2020,35,-2.78,-4.74,0
280,ADANA DONER SH.P.K.,ADANA DONER,811506396,Furre e bukes,Biznes individual,Prishtine,"208,230",27-10-2020,8,2.41,2.78,0
281,Poliklinika Zatriqi SH.P.K.,Poliklinika Zatriqi,811510230,Stomatologji,Biznes individual,Prishtine,"208,230",15-09-2020,6,-2.04,-2.98,0
282,Lifetech Medical L.L.C.,Lifetech,811478230,Stomatologji,Biznes individual,Prishtine,"208,230",27-10-2020,5,-2.56,-2.98,0
283,Belle clothes sh.p.k.,belle clothes,811417783,Porodhimi me shumice,Biznes individual,Prishtine,"208,230",28-10-2020,26,-3.31,-3.21,0
284,Papirun Express SH.P.K.,Papirun Express,811508699,Furre e bukes,Biznes individual,Prishtine,"208,230",15-09-2020,9,2.41,2.78,0
285,ERROR KOLEKTIV SH.P.K.,ERROR KOLEKTIV,811459058,Porodhimi me shumice,Biznes individual,Prishtine,"208,230",23-10-2020,43,-2.45,-3.21,0
286,HotSpot Space L.L.C.,HotSpot Space,811559626,Restaurante dhe aktivitete sherbyese,Biznes individual,Prishtine,"208,230",15-09-2020,20,-1.73,-4.74,0
287,SHISHÃM SH.P.K.,SHISHÃM,811565954,Restaurante dhe aktivitete sherbyese,Biznes individual,Prishtine,"208,230",30-10-2020,32,-4.77,-4.74,0
288,FISHOP PRISHTINA SH.P.K.,///,811556599,Restaurante dhe aktivitete sherbyese,Biznes individual,Prishtine,"208,230",15-09-2020,20,-2.56,-4.74,0
289,ROGOZNA TOP KARE D.O.O.,///,810050831,Porodhimi me shumice,Biznes individual,Mitrovice,"75,502",20-10-2020,42,-3.04,-3.21,0
290,A. S. PRIZRENI SH.P.K.,///,810076853,Aktivitete sportive,Biznes individual,Prizren,"186,375",26-10-2020,3,-5.32,-4.1,0
291,Tringa Bala B.I.,Tinga Bala,811511444,Agjensite e patundshmerise,Biznes individual,Prishtine,"208,230",15-09-2020,4,-0.8,-0.9,0
292,Home in Mountain L.L.C.,///,811559882,Marketing,Biznes individual,Prishtine,"208,230",27-10-2020,12,-0.78,-0.72,0
293,Herolind Sheholli B.I.,Metal Lindi,811504704,Porodhimi me shumice,Biznes individual,Podujeve,"94,864",15-09-2020,24,-4.21,-3.21,0
294,Mishtore Bio Hallall SH.P.K.,///,811399973,Porodhimi me shumice,Biznes individual,Fushe Kosove,"38,944",27-10-2020,49,-2.48,-3.21,0
295,ANEM Exclusive SH.P.K.,ANEM Exclusive,811503912,Agjensite e patundshmerise,Biznes individual,Gracanice,"12,124",27-10-2020,9,-1.21,-0.9,0
296,FeriPol L.L.C.,///,810116154,Porodhimi me shumice,Biznes individual,Ferizaj,"108,610",10/4/2020,38,-3.28,-3.21,0
297,VITAL HEALTH GROUP SH.P.K.,VITAL HEALTH GROUP,811488908,Aktivitete spitalore,Biznes individual,Lipjan,"57,707",27-10-2020,25,5.64,6.28,0
298,JETA REST SH.P.K.,JETA REST,811499161,Restaurante dhe aktivitete sherbyese,Biznes individual,Lipjan,"60,859",26-10-2020,30,-2.15,-4.74,0
299,WINE SHOP SH.P.K.,///,811512210,Tregti e pijeve,Biznes individual,Peje,"99,921",23-10-2020,38,-1.92,-1.03,0
300,PANCAKE HOUSE SH.P.K.,PANCAKE HOUSE,811510040,Restaurante dhe aktivitete sherbyese,Biznes individual,Prishtine,"208,230",27-10-2020,32,-5.8,-4.74,0
301,MELTEX SH.P.K.,MELTEX,811431288,Porodhimi me shumice,Biznes individual,Ferizaj,"108,610",23-10-2020,40,-3.16,-3.21,0
302,MENTOR REISEN SH.P.K.,MENTOR REISEN,811464924,Transporti urbane,Biznes individual,Podujeve,"94,864",26-10-2020,20,-2.23,-2.12,0
303,Edona Demaj Salihu B.I.,"N.SH. "" N' Fron """,810932138,Agjensione lajmesh,Dega e Shoqerise se Huaj,Prishtine,"208,230",28-10-2020,17,0.86,1.3,0
304,Majlinda Vitia B.I.,///,811267120,Agjensione lajmesh,Dega e Shoqerise se Huaj,Fushe Kosove,"38,944",26-10-2020,17,1.21.,1.3,0
305,Fabrika e Miellit Valoni SH.P.K.,Fabrika e Miellit Valoni,811457432,Agrikultura,Dega e Shoqerise se Huaj,Prizren,"186,375",23-10-2020,10,-0.07,-0.05,0
306,Mettro Studio L.L.C.,Mettro Studio,811554973,Marketing,Dega e Shoqerise se Huaj,Prishtine,"208,230",27-10-2020,12,-0.72,-0.72,0
307,Fatjana Shabanaj B.I.,///,811275868,Agrikultura,Dega e Shoqerise se Huaj,Decan,"42,070",27-10-2020,21,-0.02,-0.05,0
308,Uke Iberhysaj B.I.,MILLENIUM U,811496456,Restaurante dhe aktivitete sherbyese,Dega e Shoqerise se Huaj,Decan,"42,070",27-10-2020,25,-2.38,-4.74,0
309,Arben Leku B.I.,"D.SH. "" NATYRA - ABEDIN LEKU """,811173864,Farmaceutike,Biznes individual,Gllogoc,"60,970",15-09-2020,3,5.9,5.8,0
310,SWISS KS METAL SH.P.K.,///,811501205,Porodhimi me shumice,Ortakeri e pergjithshme,Ferizaj,"108,610",28-10-2020,49,-3.28,-3.21,0
311,Valdet Peci B.I.,"N.SH. ""EUROPA TRAVEL""",810915415,Transporti ajror,Ortakeri e pergjithshme,Prishtine,"208,230",30-10-2020,25,-3.72,-3.95,0
312,BPrAL ESLG SH.P.K.,///,811334648,Stomatologji,Ortakeri e pergjithshme,Lipjan,"57,707",28-10-2020,5,-2.04,-2.98,0
313,Wish Cake House SH.P.K.,Wish Cake House,811565699,Furre e bukes,Ortakeri e pergjithshme,Prishtine,"208,230",23-10-2020,9,3.92,2.78,0
314,Igballe Simnica B.I.,"N.T.P.""VITALI -Y.L.I.""",810788698,Agrikultura,Ortakeri e pergjithshme,Podujeve,"94,864",27-10-2020,6,-0.02,-0.05,0
315,ILYRIAN GRU SH.P.K.,///,811558503,Restaurante dhe aktivitete sherbyese,Ortakeri e pergjithshme,Ferizaj,"108,610",28-10-2020,48,-5.37,-4.74,0
316,Aron group SH.P.K.,Balkan Sweets,811557787,Furre e bukes,Ortakeri e pergjithshme,Vushtrri,"73,207",27-10-2020,10,2.7,2.78,0
317,Mullareka R&D SH.P.K.,Mullareka R&D,811510537,Furre e bukes,Ortakeri e pergjithshme,Prizren,"186,375",15-09-2020,6,3.92,2.78,0
318,Met Distribution Kosove SH.P.K.,///,811564542,Restaurante dhe aktivitete sherbyese,Ortakeri e pergjithshme,Prishtine,"208,230",26-10-2020,35,-3.97,-4.74,0
319,PELER SH.P.K.,///,810797673,Farmaceutike,Shoqeri aksionare,Prizren,"186,375",28-10-2020,4,6,5.8,0
320,Brahim Demaku B.I.,"N.SH. "" INFO DIREKT .TV """,810941361,Agjensione lajmesh,Shoqeri aksionare,Prishtine,"208,230",30-10-2020,16,1.53,1.3,0
321,Hotel DODONA SH.P.K.,///,811302744,Hotele dhe akomodimi,Shoqeri aksionare,Mitrovice,"75,502",26-10-2020,15,-4.54,-3.15,0
322,Gazeta Rilindja O.P.,"N.SH. "" Gazeta Rilindja""",811364067,Agjensione lajmesh,Shoqeri aksionare,Prishtine,"208,230",26-10-2020,31,0.95,1.3,0
323,O2 RESIDENCE SH.P.K.,O2 RESIDENCE,811471945,Agjensite e patundshmerise,Shoqeri aksionare,Gjilan,"93,450",28-10-2020,4,-1.21,-0.9,0
324,EL ARDIT SH.P.K.,///,811369950,Transporti urbane,Shoqeri aksionare,Rahovec,"59,308",28-10-2020,20,-1.91,-2.12,0
325,MIO LOUNGE BAR SH.P.K.,MIO LOUNGE BAR,811494898,Restaurante dhe aktivitete sherbyese,Shoqeri aksionare,Prishtine,"208,230",22-10-2020,23,-2.62,-4.74,0
326,In Media Group SH.P.K.,///,811337270,Agjensione lajmesh,Shoqeri aksionare,Prishtine,"208,230",15-09-2020,16,1.54,1.3,0
327,Venera Ahmetaj B.I.,"N.SH. "" SPOT """,810929268,Agjensione lajmesh,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",15-09-2020,16,1.2,1.3,0
328,Restaurant pizzeri D&D SH.P.K.,Restaurant pizzeri D&D,811511999,Restaurante dhe aktivitete sherbyese,Shoqeri me pergjegjesi te kufizuara,Viti,"47,681",23-10-2020,10,-0.43,-4.74,0
329,Shkodran F. Krasniqi B.I.,Saranda KRAS,811494335,Porodhimi me shumice,Shoqeri me pergjegjesi te kufizuara,Ferizaj,"108,610",15-09-2020,33,-3.16,-3.21,0
330,"Skender Gashi
Bejar Fazliu",Kompania E Sigurimeve EAGLE O.P.,811238323,Sigurime,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",22-10-2020,10,-0.1,-0.02,0
331,Villa PANORAMA HILLS Prevall SH.P.K.,Villa PANORAMA HILLS Prevall,811471698,Hotele dhe akomodimi,Shoqeri me pergjegjesi te kufizuara,Ferizaj,"108,610",27-10-2020,15,-2.32,-3.15,0
332,Novo Nordisk Pharma Operations A/S. Branch in Kosovo,///,810802133,Farmaceutike,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",30-10-2020,3,5.94,5.8,0
333,ARIFAJ SHQ SH.P.K.,///,811561473,Furre e bukes,Shoqeri me pergjegjesi te kufizuara,Istog,"40,728",28-10-2020,5,2.89,2.78,0
334,Durguti 1939 SH.P.K.,Durguti 1939,811559478,Restaurante dhe aktivitete sherbyese,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",26-10-2020,10,-1.66,-4.74,0
335,VILLA GOLD EXTRA SH.P.K.,VILLA GOLD EXTRA,811452870,Hotele dhe akomodimi,Shoqeri me pergjegjesi te kufizuara,Gracanice,"12,124",28-10-2020,18,-3.32,-3.15,0
336,BORA MEDICAL SH.P.K.,///,811403089,Stomatologji,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",30-10-2020,8,-2.04,-2.98,0
337,EDI EH SH.P.K.,///,811488255,Tregti e pijeve,Shoqeri me pergjegjesi te kufizuara,Peje,"99,921",28-10-2020,38,-1.92,-1.03,0
338,EM ROYAL SH.P.K.,EM ROYAL,811557498,Agjensite e patundshmerise,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",30-10-2020,4,-0.8,-0.9,0
339,AVB GROUP SH.P.K.,AVB GROUP,811506122,Aktivitete spitalore,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",27-10-2020,31,6.64,6.28,0
340,Barileva SH.P.K.,""" Barileva "" SH.P.K.",810802662,Agrikultura,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",30-10-2020,20,-0.78,-0.05,0
